epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.991,1.88086,2.72481,1.54546,0.54936,0.36552,0.30215,0.14818,1.58667,2.4172,1.42069,0.000272525,0.000272525,0.000272525
2,224.689,1.74265,1.96994,1.41358,0.32205,0.46348,0.34201,0.17033,1.51894,1.94927,1.38858,0.000539298,0.000539298,0.000539298
3,353.288,1.67787,1.84358,1.39675,0.39316,0.51344,0.37661,0.17426,1.56756,1.76105,1.38452,0.000795075,0.000795075,0.000795075
4,489.366,1.6875,1.76166,1.40466,0.44972,0.44269,0.40725,0.20048,1.52388,1.68028,1.38955,0.00078352,0.00078352,0.00078352
5,622.871,1.66563,1.67797,1.39343,0.3737,0.55141,0.41571,0.19793,1.49463,1.576,1.38129,0.000767026,0.000767026,0.000767026
6,753.02,1.62641,1.61292,1.3764,0.53413,0.45476,0.46135,0.2266,1.53149,1.53783,1.3936,0.000750533,0.000750533,0.000750533
7,929.28,1.58872,1.56782,1.34971,0.59078,0.46678,0.48093,0.22824,1.49559,1.49416,1.36682,0.00073404,0.00073404,0.00073404
8,1071.73,1.60809,1.54537,1.36311,0.49871,0.52436,0.51265,0.24831,1.51746,1.45371,1.37954,0.000717546,0.000717546,0.000717546
9,1219.35,1.60103,1.50536,1.36914,0.62224,0.56008,0.52725,0.2578,1.53205,1.41639,1.36856,0.000701053,0.000701053,0.000701053
10,1365.54,1.57863,1.45757,1.33606,0.55451,0.53352,0.52877,0.25001,1.51337,1.40969,1.36484,0.000684559,0.000684559,0.000684559
11,1513.3,1.5902,1.41952,1.33522,0.47144,0.54179,0.5349,0.26607,1.48281,1.42574,1.33857,0.000668066,0.000668066,0.000668066
12,1652.3,1.5797,1.41181,1.33119,0.5375,0.5791,0.55659,0.28323,1.50943,1.41284,1.35538,0.000651573,0.000651573,0.000651573
13,1803.98,1.54224,1.42453,1.33956,0.58371,0.56457,0.56821,0.28626,1.51198,1.46902,1.37343,0.000635079,0.000635079,0.000635079
14,1949.33,1.56374,1.38232,1.33568,0.59818,0.57527,0.6083,0.29172,1.52852,1.37351,1.3605,0.000618586,0.000618586,0.000618586
15,2090.7,1.55574,1.35374,1.32889,0.54815,0.59078,0.5915,0.29358,1.50332,1.37469,1.34942,0.000602092,0.000602092,0.000602092
16,2227.05,1.53904,1.35238,1.3322,0.62276,0.60431,0.58419,0.28801,1.51367,1.40099,1.3506,0.000585599,0.000585599,0.000585599
17,2364.1,1.50587,1.31747,1.28247,0.68605,0.56495,0.60462,0.3033,1.48191,1.31024,1.33116,0.000569106,0.000569106,0.000569106
18,2508.9,1.53906,1.3114,1.32735,0.57634,0.56047,0.58715,0.29353,1.51693,1.35987,1.36158,0.000552612,0.000552612,0.000552612
19,2664.76,1.51171,1.28215,1.30395,0.59238,0.57632,0.58256,0.29543,1.50368,1.33828,1.35597,0.000536119,0.000536119,0.000536119
20,2832.56,1.49944,1.28178,1.3032,0.62722,0.54273,0.57737,0.27825,1.54658,1.35023,1.38043,0.000519625,0.000519625,0.000519625
21,3009.51,1.4896,1.2328,1.29962,0.6092,0.56785,0.60554,0.29896,1.50276,1.30506,1.36088,0.000503132,0.000503132,0.000503132
22,3182.72,1.46709,1.23859,1.27243,0.56285,0.59487,0.58537,0.29141,1.53175,1.32141,1.37149,0.000486639,0.000486639,0.000486639
23,3354.83,1.47803,1.21095,1.27147,0.61763,0.55649,0.58904,0.29309,1.52982,1.30326,1.38219,0.000470145,0.000470145,0.000470145
24,3521.76,1.47051,1.24516,1.28198,0.63956,0.56722,0.59624,0.30637,1.49799,1.33177,1.36744,0.000453652,0.000453652,0.000453652
25,3683.41,1.45086,1.21132,1.27855,0.64287,0.57445,0.60742,0.31857,1.52855,1.31117,1.37772,0.000437158,0.000437158,0.000437158
26,3852.27,1.41217,1.17416,1.25951,0.57269,0.63683,0.60581,0.30263,1.50702,1.27372,1.34527,0.000420665,0.000420665,0.000420665
27,4001.6,1.43556,1.17001,1.25341,0.64912,0.57322,0.60413,0.3,1.5254,1.30022,1.34744,0.000404172,0.000404172,0.000404172
28,4152.02,1.43304,1.17005,1.26669,0.57924,0.61033,0.60921,0.30471,1.49686,1.30284,1.36635,0.000387678,0.000387678,0.000387678
29,4325.54,1.43429,1.15381,1.26176,0.62859,0.61766,0.62611,0.32166,1.48641,1.25328,1.35621,0.000371185,0.000371185,0.000371185
30,4508.54,1.43169,1.15972,1.25841,0.61236,0.62658,0.63149,0.31765,1.48959,1.25684,1.34898,0.000354691,0.000354691,0.000354691
31,5455.48,1.43067,1.15541,1.26551,0.60666,0.57281,0.63789,0.33196,1.50571,1.23046,1.37194,0.000338198,0.000338198,0.000338198
32,5594.09,1.41528,1.1389,1.24635,0.5403,0.63605,0.62135,0.31163,1.52457,1.26198,1.37204,0.000321705,0.000321705,0.000321705
33,5733.86,1.40182,1.11979,1.24094,0.64858,0.63576,0.63932,0.32743,1.53181,1.29702,1.38252,0.000305211,0.000305211,0.000305211
34,5882.87,1.38414,1.08118,1.23201,0.67378,0.58454,0.63173,0.31954,1.51673,1.29669,1.38824,0.000288718,0.000288718,0.000288718
35,6032.82,1.38614,1.09839,1.24081,0.62251,0.61064,0.62813,0.31481,1.50953,1.24281,1.3741,0.000272224,0.000272224,0.000272224
36,6181.03,1.36616,1.09598,1.22952,0.57006,0.66207,0.61221,0.31292,1.53443,1.24412,1.37729,0.000255731,0.000255731,0.000255731
37,6358.96,1.37073,1.07451,1.26312,0.57915,0.63632,0.63214,0.3175,1.54769,1.22962,1.39029,0.000239238,0.000239238,0.000239238
38,6559.5,1.38926,1.04652,1.22731,0.63207,0.59316,0.63605,0.3191,1.53415,1.25951,1.37658,0.000222744,0.000222744,0.000222744
39,6746.02,1.33834,1.05449,1.21718,0.61838,0.60468,0.635,0.31914,1.53867,1.21619,1.38033,0.000206251,0.000206251,0.000206251
40,6930.25,1.329,1.01485,1.19086,0.61774,0.61917,0.62774,0.32545,1.50805,1.22936,1.36462,0.000189757,0.000189757,0.000189757
41,7109.37,1.35414,1.01426,1.25518,0.56554,0.65074,0.64158,0.33245,1.53815,1.23196,1.38515,0.000173264,0.000173264,0.000173264
42,7273.07,1.34054,0.99325,1.25161,0.61307,0.58454,0.63089,0.32984,1.53454,1.27219,1.37654,0.000156771,0.000156771,0.000156771
43,7427.24,1.33612,0.98551,1.24039,0.5674,0.66757,0.62527,0.32295,1.52554,1.22326,1.37153,0.000140277,0.000140277,0.000140277
44,7622.22,1.32243,0.96416,1.22704,0.62793,0.64583,0.64669,0.33059,1.53477,1.22328,1.37304,0.000123784,0.000123784,0.000123784
45,7796.13,1.31052,0.95066,1.23133,0.61462,0.6353,0.63017,0.32171,1.53318,1.24673,1.37384,0.00010729,0.00010729,0.00010729
46,7968.01,1.30108,0.93798,1.22764,0.5811,0.63828,0.63177,0.31446,1.53903,1.24141,1.38023,9.0797e-05,9.0797e-05,9.0797e-05
47,8164.74,1.30597,0.92437,1.23701,0.61662,0.64425,0.63871,0.32415,1.54301,1.23687,1.38895,7.43036e-05,7.43036e-05,7.43036e-05
48,8357.62,1.29305,0.91485,1.21778,0.5864,0.65347,0.63921,0.32733,1.53693,1.22949,1.3848,5.78102e-05,5.78102e-05,5.78102e-05
49,8515.53,1.28564,0.90955,1.22819,0.59733,0.65886,0.6333,0.32394,1.5474,1.2407,1.38415,4.13168e-05,4.13168e-05,4.13168e-05
50,8665.66,1.27906,0.89689,1.21026,0.60607,0.63571,0.63483,0.32408,1.55059,1.24647,1.38575,2.48234e-05,2.48234e-05,2.48234e-05
